candidate_rank,coingecko_id,symbol,name,yahoo_symbol,screening_status,screening_note,snapshot_market_cap_usd,snapshot_volume_usd,snapshot_market_cap_rank,snapshot_last_updated,included,valid_price_observations,collection_error
1,croatian-ff-fan-token,VATRENI,Croatian Football Federation Token,VATRENI-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,27973649,2226.09,718,2026-09-20T12:06:10.000Z,True,1394,
2,og-fan-token,OG,OG Fan Token,OG-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,13033988,1398707.0,1092,2026-09-20T12:06:10.000Z,True,2283,
3,atletico-madrid,ATM,Atletico Madrid Fan Token,ATM-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,10025572,2104958.0,1235,2026-09-20T12:06:10.000Z,True,2283,
4,santos-fc-fan-token,SANTOS,Santos FC Fan Token,SANTOS-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,8112538,784143.0,1368,2026-09-20T12:06:10.000Z,True,1755,
5,paris-saint-germain-fan-token,PSG,Paris Saint-Germain Fan Token,PSG-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,7988254,1018968.0,1375,2026-09-20T12:06:10.000Z,True,2293,
6,fc-barcelona-fan-token,BAR,FC Barcelona Fan Token,BAR-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,7862591,2940218.0,1388,2026-09-20T12:06:10.000Z,True,2280,
7,as-roma-fan-token,ASR,AS Roma Fan Token,ASR-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,7505790,2894995.0,1418,2026-09-20T12:06:10.000Z,True,2283,
8,galatasaray-fan-token,GAL,Galatasaray Fan Token,GAL-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,7355800,2159202.0,1433,2026-09-20T12:06:10.000Z,True,2296,
9,fight-2,FIGHT,FIGHT,FIGHT-USD,excluded,Insufficient daily history at the sample cutoff,7371014,762620.0,1432,2026-09-20T12:06:10.000Z,False,0,
10,fc-porto,PORTO,FC Porto Fan Token,PORTO-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,5118206,668610.0,1694,2026-09-20T12:06:10.000Z,True,1770,
11,manchester-city-fan-token,CITY,Manchester City Fan Token,CITY10049-USD,eligible,Yahoo symbol uses a numeric suffix to avoid a ticker collision,5070896,1546366.0,1702,2026-09-20T12:06:10.000Z,True,1944,
12,lazio-fan-token,LAZIO,Lazio Fan Token,LAZIO-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,4985484,778227.0,1715,2026-09-20T12:06:10.000Z,True,1796,
13,juventus-fan-token,JUV,Juventus Fan Token,JUV-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,4912323,627852.0,1723,2026-09-20T12:06:10.000Z,True,2343,
14,ac-milan-fan-token,ACM,AC Milan Fan Token,ACM8538-USD,eligible,Yahoo symbol uses a numeric suffix to avoid a ticker collision,3926578,1114241.0,1875,2026-09-20T12:06:10.000Z,True,2036,
15,arsenal-fan-token,AFC,Arsenal Fan Token,AFC11532-USD,eligible,Yahoo symbol uses a numeric suffix to avoid a ticker collision,3883842,413889.0,1882,2026-09-20T12:06:10.000Z,True,1789,
16,alpine-f1-team-fan-token,ALPINE,Alpine F1 Team Fan Token,ALPINE-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,3818990,1845516.0,1894,2026-09-20T12:06:10.000Z,True,1673,
17,inter-milan-fan-token,INTER,Inter Milan Fan Token,INTER-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,2656236,217377.0,2177,2026-09-20T12:06:10.000Z,True,1833,
18,trabzonspor-fan-token,TRA,Trabzonspor Fan Token,TRA-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,1691905,619231.0,2554,2026-09-20T12:06:10.000Z,True,2141,
19,argentine-football-association-fan-token,ARG,Argentine Football Association Fan Token,ARG-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,1306026,168040.0,2803,2026-09-20T12:06:10.000Z,True,1868,
20,napoli-fan-token,NAP,Napoli Fan Token,NAP-USD,eligible,Top eligible CoinGecko Fan Token category asset at the fixed snapshot,1271766,202540.0,2830,2026-09-20T12:06:10.000Z,True,1480,
21,blockchainspace,GUILD,BlockchainSpace,GUILD-USD,excluded,Not issued by a sporting organisation or team,1098411,372.85,2955,2026-09-20T12:06:10.000Z,False,0,
22,portugal-national-team-fan-token,POR,Portugal National Team Fan Token,POR-USD,eligible,Replacement for excluded category entries to retain 20 eligible fan tokens,1047683,134086.0,2995,2026-09-20T12:06:10.000Z,True,1762,
